positron : pt theta x1m : 2.59316 1.40359 0.38563
electron : pt theta x1m : 2.81121 1.40353 0.355718
photon energy 5.175
The Real x1, x2 values: 0.3848710.355018
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
 z12 z23 z13 1.10663e-07 0.000730332 0.000741285
